Product Name,Product URL,Product Price,Rating,Number of Reviews
F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),/F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5,"1,168",4.4,4.4
"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable",/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z,449,4.2,4.2
LL LEATHER LAND DESIGNER BAGS Women Sling Bag,/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD,299,4.0,4.0
Nivia Polyester String Bag,/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM,149,4.1,4.1
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),/HEROZ-Backpack-Resistant-Durable-Notebook/dp/B08BYQZYYC,"1,349",4.3,4.3
"Red Lemon BANGE Cyborg Laptop Backpack for Men Business Travelling Backpack with USB Charger Port,Weekender Carry-On laptop bag for men",/Red-Lemon-Backpack-Travelling-Weekender/dp/B0B9WX3QD8,"2,999",4.2,4.2
Skybags Network Pro 26L Unisex Blue Laptop Bags,/Skybags-Network-Unisex-Blue-Laptop/dp/B0B4DTMVXY,"2,999",4.1,4.1
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),/ADISA-Laptop-Backpack-Office-College/dp/B0BVRJYD9Q,599,4.4,4.4
"Space Full School and Laptop Bag, Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping (Black Color, Pack Of 1)",/Polyester-Bagpack-Spacious-Shoulder-Travelling/dp/B0BLHBD7N6,399,5.0,5.0
Large 26L Ace Laptop Backpack Laptop Bag | Office Bag With USB Charging Port | College Bag,/Ace-Laptop-Backpack-Charging-College/dp/B09ZB5HGWB,569,4.0,4.0
"Storite Pack of 2 Heavy Duty Canvas Grocery Shopping Bags with Reinforced Handles (40x20x33-cm, Green)",/Storite-Grocery-Shopping-Reinforced-40x20x33-cm/dp/B079T66RBW,519,4.3,4.3
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G,929,4.0,4.0
